gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,performance_level
male,group A,high school,standard,completed,67,67,63,197,Medium
female,group D,some high school,free/reduced,none,40,59,55,154,Low
male,group E,some college,free/reduced,none,59,60,50,169,Low
male,group B,high school,standard,none,77,78,68,223,Medium
male,group E,associate's degree,standard,completed,78,73,68,219,Medium
female,group D,high school,standard,none,63,77,76,216,Medium
female,group A,bachelor's degree,standard,none,62,59,63,184,Medium
male,group E,some college,standard,completed,93,88,84,265,High
male,group D,high school,standard,none,63,56,65,184,Medium
male,group C,some college,free/reduced,none,47,42,45,134,Low
male,group E,some college,standard,completed,99,83,85,267,High
female,group D,high school,standard,completed,80,87,90,257,High
male,group D,associate's degree,standard,completed,77,87,85,249,High
male,group C,high school,standard,completed,74,74,73,221,Medium
male,group E,some high school,standard,completed,81,87,85,253,High
male,group E,associate's degree,free/reduced,none,69,61,57,187,Medium
male,group B,high school,standard,none,58,47,42,147,Low
female,group C,associate's degree,standard,completed,54,62,65,181,Medium
female,group C,associate's degree,free/reduced,none,23,44,44,111,Low
male,group C,some college,free/reduced,none,39,32,31,102,Low
female,group C,associate's degree,standard,none,83,76,88,247,High
male,group C,associate's degree,standard,none,58,52,55,165,Low
male,group B,some college,standard,completed,71,69,73,213,Medium
female,group B,some college,free/reduced,none,44,55,54,153,Low
male,group E,some high school,free/reduced,none,46,38,32,116,Low
male,group C,high school,free/reduced,none,51,45,42,138,Low
female,group C,some high school,standard,none,53,60,56,169,Low
male,group E,high school,standard,none,71,68,60,199,Medium
female,group B,high school,standard,completed,74,89,89,252,High
female,group A,some high school,free/reduced,none,33,54,51,138,Low
male,group B,some college,standard,none,87,79,77,243,High
male,group A,bachelor's degree,free/reduced,none,78,74,73,225,Medium
male,group A,some high school,free/reduced,completed,40,41,39,120,Low
female,group B,associate's degree,standard,completed,65,65,71,201,Medium
female,group B,bachelor's degree,standard,completed,79,88,89,256,High
female,group A,bachelor's degree,standard,none,68,74,74,216,Medium
female,group C,some college,standard,completed,57,77,75,209,Medium
male,group B,high school,free/reduced,none,67,65,54,186,Medium
female,group B,some college,free/reduced,completed,58,68,73,199,Medium
male,group E,associate's degree,standard,none,98,81,77,256,High
female,group B,master's degree,free/reduced,none,54,75,72,201,Medium
male,group D,high school,standard,none,77,67,64,208,Medium
male,group E,high school,standard,completed,87,79,82,248,High
female,group C,master's degree,standard,none,58,70,70,198,Medium
male,group E,high school,standard,none,100,88,87,275,High
male,group C,bachelor's degree,standard,none,60,46,51,157,Low
male,group C,associate's degree,free/reduced,none,64,63,57,184,Medium
female,group E,some high school,standard,completed,65,76,78,219,Medium
female,group D,high school,standard,none,68,72,73,213,Medium
male,group C,associate's degree,free/reduced,completed,60,63,57,180,Medium
male,group D,high school,standard,none,65,68,64,197,Medium
female,group C,some high school,free/reduced,none,52,58,60,170,Low
female,group C,associate's degree,standard,none,74,81,85,240,High
female,group C,high school,free/reduced,none,36,53,49,138,Low
male,group D,high school,free/reduced,none,57,57,47,161,Low
female,group C,some college,standard,completed,56,60,62,178,Low
female,group C,bachelor's degree,standard,completed,67,80,84,231,Medium
male,group D,associate's degree,standard,completed,88,87,83,258,High
female,group D,some college,free/reduced,none,42,61,51,154,Low
male,group E,some high school,standard,none,68,51,48,167,Low
male,group D,some college,free/reduced,none,76,66,68,210,Medium
female,group E,some high school,standard,none,58,63,59,180,Medium
male,group E,some high school,standard,completed,69,67,62,198,Medium
male,group A,bachelor's degree,standard,completed,77,82,78,237,Medium
male,group D,master's degree,standard,completed,83,93,97,273,High
female,group C,some high school,free/reduced,completed,49,74,70,193,Medium
male,group C,high school,standard,none,71,60,56,187,Medium
female,group D,some high school,free/reduced,none,47,46,49,142,Low
male,group B,high school,standard,none,79,64,60,203,Medium
female,group C,high school,standard,none,60,64,57,181,Medium
female,group C,associate's degree,standard,completed,56,68,73,197,Medium
male,group C,associate's degree,standard,none,57,52,47,156,Low
female,group B,some college,standard,none,49,70,63,182,Medium
female,group C,some high school,standard,completed,79,76,81,236,Medium
male,group B,master's degree,free/reduced,none,71,76,67,214,Medium
female,group C,high school,standard,none,71,77,70,218,Medium
female,group C,some college,standard,none,47,63,59,169,Low
female,group D,high school,free/reduced,none,72,91,81,244,High
male,group C,associate's degree,standard,none,78,73,76,227,Medium
male,group D,some high school,standard,none,54,43,45,142,Low
female,group B,bachelor's degree,standard,none,46,59,62,167,Low
female,group D,some high school,free/reduced,none,31,38,42,111,Low
female,group C,associate's degree,free/reduced,none,51,59,59,169,Low
male,group B,high school,standard,completed,78,76,73,227,Medium
female,group B,associate's degree,free/reduced,none,32,41,39,112,Low
female,group C,some high school,standard,none,53,71,69,193,Medium
female,group C,some college,free/reduced,none,63,76,69,208,Medium
male,group D,some college,standard,none,97,93,88,278,High
female,group D,some college,standard,none,56,52,61,169,Low
male,group B,high school,standard,none,72,76,72,220,Medium
male,group C,some college,free/reduced,none,57,47,42,146,Low
male,group B,some high school,standard,none,74,71,70,215,Medium
female,group D,master's degree,standard,none,81,81,87,249,High
male,group D,bachelor's degree,standard,completed,94,87,93,274,High
male,group B,master's degree,free/reduced,none,81,73,72,226,Medium
female,group C,high school,standard,completed,58,63,67,188,Medium
female,group E,associate's degree,standard,completed,95,100,100,295,High
male,group B,high school,free/reduced,none,45,52,49,146,Low
male,group A,some college,standard,none,63,50,49,162,Low
male,group B,associate's degree,standard,none,60,54,53,167,Low
male,group C,some college,free/reduced,completed,54,61,62,177,Low
male,group C,some college,standard,completed,75,78,79,232,Medium
male,group E,high school,standard,none,79,78,77,234,Medium
male,group D,high school,standard,none,66,67,67,200,Medium
female,group B,some college,standard,none,47,58,58,163,Low
female,group D,bachelor's degree,standard,none,70,78,82,230,Medium
male,group D,high school,standard,none,82,74,73,229,Medium
male,group A,bachelor's degree,standard,none,56,38,44,138,Low
male,group B,associate's degree,standard,none,92,78,71,241,High
male,group C,some college,free/reduced,none,30,33,33,96,Low
female,group C,some college,standard,completed,79,88,86,253,High
female,group D,some high school,standard,none,41,52,47,140,Low
female,group C,master's degree,standard,none,63,82,71,216,Medium
male,group A,bachelor's degree,free/reduced,none,43,34,33,110,Low
male,group D,high school,standard,none,77,76,74,227,Medium
male,group B,associate's degree,standard,completed,76,79,76,231,Medium
female,group E,some college,free/reduced,none,49,61,63,173,Low
